site_id,wacc_pct,scenario,cf_wind_used,wind_speed_ms,connection_cost_per_kw,effective_capex_usd_per_kw,lcoe_usd_mwh,lcoe_low_usd_mwh,lcoe_high_usd_mwh,is_capex_provisional,tech_id,lifetime_yr
kek-singhasari,6.0,within_boundary,0.05,3.16,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-singhasari,8.0,within_boundary,0.05,3.16,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-singhasari,10.0,within_boundary,0.05,3.16,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-singhasari,12.0,within_boundary,0.05,3.16,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-singhasari,14.0,within_boundary,0.05,3.16,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-singhasari,16.0,within_boundary,0.05,3.16,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-singhasari,18.0,within_boundary,0.05,3.16,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-singhasari,20.0,within_boundary,0.05,3.16,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-singhasari,4.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,81.65,66.65,105.0,False,TECH_WIND_ONSHORE,27
kek-singhasari,6.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,95.79,77.24,124.65,False,TECH_WIND_ONSHORE,27
kek-singhasari,8.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,111.19,88.78,146.05,False,TECH_WIND_ONSHORE,27
kek-singhasari,10.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,127.62,101.09,168.9,False,TECH_WIND_ONSHORE,27
kek-singhasari,12.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,144.87,114.02,192.87,False,TECH_WIND_ONSHORE,27
kek-singhasari,14.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,162.75,127.42,217.73,False,TECH_WIND_ONSHORE,27
kek-singhasari,16.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,181.11,141.17,243.23,False,TECH_WIND_ONSHORE,27
kek-singhasari,18.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,199.8,155.17,269.22,False,TECH_WIND_ONSHORE,27
kek-singhasari,20.0,grid_connected_solar,0.2096,5.85,100.0,1795.0,218.75,169.37,295.56,False,TECH_WIND_ONSHORE,27
kek-morotai,4.0,within_boundary,0.05,3.04,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
kek-morotai,6.0,within_boundary,0.05,3.04,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-morotai,8.0,within_boundary,0.05,3.04,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-morotai,10.0,within_boundary,0.05,3.04,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-morotai,12.0,within_boundary,0.05,3.04,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-morotai,14.0,within_boundary,0.05,3.04,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-morotai,16.0,within_boundary,0.05,3.04,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-morotai,18.0,within_boundary,0.05,3.04,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-morotai,20.0,within_boundary,0.05,3.04,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-morotai,4.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,103.32,89.14,125.38,False,TECH_WIND_ONSHORE,27
kek-morotai,6.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,122.85,105.32,150.12,False,TECH_WIND_ONSHORE,27
kek-morotai,8.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,144.13,122.95,177.08,False,TECH_WIND_ONSHORE,27
kek-morotai,10.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,166.84,141.77,205.84,False,TECH_WIND_ONSHORE,27
kek-morotai,12.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,190.68,161.52,236.04,False,TECH_WIND_ONSHORE,27
kek-morotai,14.0,grid_connected_solar,0.2218,6.06,929.9,2624.9,215.39,181.99,267.34,False,TECH_WIND_ONSHORE,27
