site_id,site_name,latitude,longitude,pvout_daily_centroid,pvout_centroid,cf_centroid,pvout_daily_best_50km,pvout_best_50km,cf_best_50km,pvout_source,pvout_buildable_best_50km,buildable_area_ha,regional_groundmount_potential_mwp_50km,buildability_constraint,best_solar_site_lat,best_solar_site_lon,best_solar_site_dist_km,within_boundary_area_ha,within_boundary_capacity_mwp,pvout_within_boundary,within_boundary_source,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct
sbi-tuban,SBI Tuban,-6.816488,111.885383,4.32,1576.8,0.18,4.448,1623.5,0.1853,GlobalSolarAtlas-v2,1581.3,2392.6,1595.1,land_cover,-6.82335,111.92701,4.66,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Mliwang - KTT Holcim 1,1.0,1.0
indocement-palimanan,Indocement Palimanan,-6.72,108.38,3.959,1445.0,0.165,4.268,1557.8,0.1778,GlobalSolarAtlas-v2,1456.9,1709.3,1139.5,land_cover,-6.72084,108.39857,2.05,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Arjawinangun Baru (120 MVA No.1 dan 2),0.4377,1.0
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,-6.954596,106.247008,3.895,1421.7,0.1623,4.093,1493.9,0.1705,GlobalSolarAtlas-v2,1372.0,170.8,113.9,kawasan_hutan,-7.15961,106.54869,40.35,0.0,0.0,,theoretical,best_pvout_fallback,,0.4304,1.0
sbi-cilacap,SBI Cilacap,-7.687489,109.022305,4.158,1517.7,0.1732,4.261,1555.3,0.1775,GlobalSolarAtlas-v2,1512.2,255.8,170.5,land_cover,-7.7175,108.99408,4.56,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Semen Nusantara 1,0.4587,1.0
semen-imasco-asiatic-jember,Semen Imasco Asiatic Jember,-8.348729,113.49255,4.385,1600.5,0.1827,4.617,1685.2,0.1924,GlobalSolarAtlas-v2,1631.5,851.4,567.6,land_cover,-8.28707,113.25108,27.44,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
si-gresik-rembang,SI Gresik Rembang,-6.866206,111.458833,3.968,1448.3,0.1653,4.396,1604.5,0.1832,GlobalSolarAtlas-v2,1478.3,2221.4,1480.9,land_cover,-6.87585,111.52449,7.33,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Semen Indonesia,1.0,1.0
semeru-surya-semen-kutai,Semeru Surya Semen Kutai,-0.541619,117.146701,3.399,1240.6,0.1416,3.773,1377.1,0.1572,GlobalSolarAtlas-v2,1244.8,25471.6,16981.1,land_cover,-0.5564,117.11635,3.75,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Harapan Baru - Tengkawang 2,1.0,1.0
indocement-kotabaru-tarjun,Indocement Kotabaru Tarjun,-3.271007,116.105835,3.656,1334.4,0.1523,3.892,1420.6,0.1622,GlobalSolarAtlas-v2,1322.9,5240.9,3493.9,land_cover,-3.47602,115.96196,27.83,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Batulicin,1.0,1.0
semen-grobogan,Semen Grobogan,-7.089975,110.622539,4.188,1528.6,0.1745,4.328,1579.7,0.1803,GlobalSolarAtlas-v2,1516.5,1281.0,854.0,land_cover,-7.13499,110.56909,7.74,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Semen Grobogan - SGB (KKTT),1.0,1.0
semen-garuda-bekasi,Semen Garuda Bekasi,-6.460507,107.212892,3.855,1407.1,0.1606,4.127,1506.4,0.172,GlobalSolarAtlas-v2,1404.6,5045.1,3363.4,land_cover,-6.39121,107.21191,7.71,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Juishin,1.0,1.0
