project_name,project_type,latitude,longitude,capacity_tons,capacity_unit,cost_usd,status,province,shareholder,is_chinese_owned,esg_ecological,esg_social,kek_id,dist_to_kek_km
Bahodopi Nickel Smelting Indonesia,MHP,-3.103761024,122.3076946,80000.0,ton,2600000000,Planned,"Sulawesi Tengah, Morowali",Vale:49; TISCO & Xinhai:51,True,Water Pollution,Loss of Traditional Livelihoods,,
Virtue Dragon Nickel Industry (VDNI),Ferro Nickel,-3.90365,122.41892,1000000.0,ton,5000000000,Active,"Sulawesi Tenggara, Konawe Utara",Jiangsu Delong Nickel Industry Co. Ltd,True,Air Pollution,Poor Work Safety,,
Wanatiara Persada,Ferro Nickel,-1.473324934,127.4320069,260000.0,ton,600000000,Active,"Maluku Utara, Halmahera Selatan",Jinchuan Group:60; Unnamed Indonesian Company:40,False,Water Pollution,Poor Work Safety,,
Wanxiang Nickel Indonesia,Ferro Nickel,-2.734022385,122.0317987,600000.0,ton,,Active,"Sulawesi Tengah, Morowali",Wanxiang Nickel Indonesia,True,,Poor Work Safety,,
Adhikara Cipta Mulya,MHP,-3.389050211,122.2267409,77000.0,ton,1000000000,Active,"Sulawesi Tenggara, Konawe Utara",I Made Martawan:15;Muhammad Ikbal:55;Tonny Khashoggi Hioe:30,False,,,,
Anugrah Tambang Sejahtera (ATS),Nickel Pig Iron,-3.014252369,122.2327788,144000.0,ton,897868,Active,"Sulawesi Tengah, Morowali",Bina Mitra Serasi:1;FE resources:99,False,,,,
Bintang Timur Steel,Nickel Pig Iron,-6.24668712,106.4968001,351000.0,ton,2150000,Active,"Banten, Tangerang Regency",Frans Salim Kalalo:69;Sae Jao Lioliam:1;Wijaya Inti Nusantara:30,False,Water Pollution;Air Pollution,,bumi-serpong-damai,19.1
QMB New Energy Materials Indonesia,MHP,-2.860246476,122.1719025,136000.0,ton,998000000,Active,"Sulawesi Tengah, Morowali",GEM Co. Ltd:36; CATL:25; Tsingshan:21; IMIP:10; Hanwa Co. Ltd:8,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Ranger Nickel Industry,Nickel Pig Iron,-2.851174379,122.1644422,149929.0,ton,50000000,Active,"Sulawesi Tengah, Morowali",Nickel Mines:80; Shanghai Decent (Tsingshan):20,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Titan Mineral Utama,Nickel Pig Iron,-5.556315715,120.0528874,50000.0,ton,350000000,Planned,"Sulawesi Selatan, Bantaeng Regency",Titan Mineral Utama:100,False,Water Pollution;Air Pollution,,,
Gebe Sentra Nikel,Ferro Nickel,-0.1385376862,129.5191783,0.0,ton,,Active,"Maluku Utara, Halmahera Tengah",Zhenshi Holding Group:majority; Dr A.D Chandara:minority,True,,,,
Obsidian Stainless Steel (OSS),Ferro Nickel,-3.884085684,122.4153183,1000000.0,ton,,Active,"Sulawesi Tenggara, Konawe Regency",Xiangyo Group and Delong Group,True,Air Pollution,Poor Work Safety,,
Hengjaya Nickel Industry (HNI),Nickel Pig Iron,-2.847385806,122.1641905,150000.0,ton,,Active,"Sulawesi Tengah, Morowali",Nickel Mines:80; Shanghai Decent Investment Group (Tsingshan):20,True,,,,
Angel Nickel Industry,Nickel Pig Iron,0.4866538351,127.9517603,36000.0,ton,,Active,"North Maluku, Halmahera Regency",Shanghai Decent Investment Group (Tsingshan); Nickel Industries Ltd,True,Water Pollution;Air Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities",,
