site_id,site_name,nearest_substation_name,nearest_substation_voltage_kv,nearest_substation_capacity_mva,nearest_substation_capacity_source,nearest_substation_regpln,dist_to_nearest_substation_km,has_internal_substation,siting_scenario,dist_solar_to_nearest_substation_km,nearest_substation_to_solar_name,nearest_substation_to_solar_regpln,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,substation_utilization_pct_effective,ruptl_project_type,ruptl_strongest_status,ruptl_earliest_target_year,ruptl_mva_added_total,ruptl_match_confidence,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct,project_scale_solar_mwp
krakatau-steel-cilegon,Krakatau Steel Cilegon,GI 150 kV Alindo,150 kV,60.0,proxy_150kV,Jawa-Bali,0.91,False,remote_captive,3.65,GI 150 kV Cilegon Baru (60 MVA No.1),Jawa-Bali,invest_substation,True,True,True,10.69,18.0,red,0.7,,,,,,substation_anchored,GITET 500 kV Cilegonbaru,0.4752,0.4903,432.13
krakatau-posco-cilegon,Krakatau Posco Cilegon,GI 150 kV PT Krakatau Posco Energy,150 kV,60.0,proxy_150kV,Jawa-Bali,2.23,False,remote_captive,4.0,GI 150 kV Cilegon Baru (60 MVA No.1),Jawa-Bali,invest_substation,True,False,True,13.42,18.0,red,0.7,,,,,,substation_anchored,GITET 500 kV Cilegonbaru,1.0,1.0,129.4
dexin-steel-morowali,Dexin Steel Morowali,GI 150 kV Unaaha,150 kV,30.0,actual,Sulawesi,115.33,False,remote_captive,114.82,GI 150 kV Unaaha,Sulawesi,invest_substation,True,,True,,7.5,red,0.75,extension,committed,2025.0,30.0,high,best_pvout_fallback,,1.0,1.0,289.17
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,GI 150 kV Cikarang,150 kV,120.0,actual,Jawa-Bali,0.43,False,remote_captive,3.37,GI 150 kV Hankook - Arah Cibatu 2,Jawa-Bali,invest_substation,True,True,True,10.27,30.0,red,0.75,extension,rencana,2026.0,0.0,high,substation_anchored,GI 150 kV Jababeka 1,0.61,0.6241,196.37
master-steel-jakarta,Master Steel Jakarta,GI 150 kV Pangeran Karang - Pegangsaan,150 kV,13.5,actual,Jawa-Bali,0.23,False,remote_captive,2.93,GIS 150 kV Harapan Indah,Jawa-Bali,grid_first,True,False,True,7.78,4.7,red,0.65,,,,,,substation_anchored,GIS 150 kV Kandang Sapi,0.3169,0.3275,215.93
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,GI 150 kV Tosan - Pegangsaan 2,150 kV,17.0,actual,Jawa-Bali,0.64,False,remote_captive,3.86,GIS 150 kV Harapan Indah,Jawa-Bali,grid_first,True,False,True,7.13,5.9,red,0.65,,,,,,substation_anchored,GITET 500 kV Bekasi 1,0.5293,0.5497,96.99
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,GI 150 kV Ispatindo,150 kV,60.0,proxy_150kV,Jawa-Bali,0.44,False,remote_captive,2.06,GI 150 kV Surabayaselatan,Jawa-Bali,invest_substation,True,False,True,10.88,18.0,red,0.7,,,,,,substation_anchored,GI 70 kV Maspion,1.0,1.0,67.76
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),GI 70 kV Nii Tanasa,70 kV,10.0,actual,Sulawesi,10.18,False,remote_captive,,,,grid_first,False,,,,3.5,unknown,0.65,,,,,,,,,,
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),GI 150 kV Bulukumba,150 kV,50.0,actual,Sulawesi,8.08,False,remote_captive,,,,invest_substation,False,,,,17.5,unknown,0.65,,,,,,,,,,
obi-island-industrial-park,Obi Island Industrial Park,GI 70 kV Waai,70 kV,20.0,proxy_70kV,Maluku,246.49,False,remote_captive,,,,grid_first,False,,,,6.0,unknown,0.7,,,,,,,,,,
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),GI 150 kV Kolaka (30 MVA No.1),150 kV,30.0,actual,Sulawesi,12.92,False,remote_captive,,,,invest_substation,False,,,,7.5,unknown,0.75,extension,committed,2025.0,30.0,high,,,,,
nusantara-industri-sejati,Nusantara Industri Sejati,GI 70 kV Nii Tanasa,70 kV,10.0,actual,Sulawesi,16.35,False,remote_captive,,,,grid_first,False,,,,3.5,unknown,0.65,,,,,,,,,,
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),GI 150 kV Unaaha,150 kV,30.0,actual,Sulawesi,114.98,False,remote_captive,115.48,GI 150 kV Unaaha,Sulawesi,invest_substation,True,,True,,7.5,red,0.75,extension,committed,2025.0,30.0,high,best_pvout_fallback,,0.0136,0.0137,2120.1
stardust-estate-invesment-sei,Stardust Estate Invesment (SEI),GI 150 kV Malili,150 kV,60.0,proxy_150kV,Sulawesi,95.27,False,remote_captive,75.6,GI 150 kV Malili,Sulawesi,invest_substation,True,,True,,18.0,red,0.7,,,,,,best_pvout_fallback,,,,
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),GI 150 kV Ternate 1 (120 MVA No.1 dan 2),150 kV,120.0,actual,Maluku,76.51,False,remote_captive,91.29,GI 150 kV Ternate 1 (120 MVA No.1 dan 2),Maluku,invest_substation,True,,True,,42.0,red,0.65,,,,,,best_pvout_fallback,,0.0365,0.0385,1663.7
buli-industrial-park,Buli Industrial Park,GI 150 kV Ternate 1 (120 MVA No.1 dan 2),150 kV,120.0,actual,Maluku,98.83,False,remote_captive,101.18,GI 150 kV Ternate 1 (120 MVA No.1 dan 2),Maluku,invest_substation,True,,True,,42.0,red,0.65,,,,,,best_pvout_fallback,,1.0,1.0,310.7
indonesia-konawe-industrial-park-ikip,Indonesia Konawe Industrial Park (IKIP),GI 150 kV Malili,150 kV,60.0,proxy_150kV,Sulawesi,88.31,False,remote_captive,115.3,GI 150 kV Unaaha,Sulawesi,invest_substation,True,False,True,171.2,18.0,red,0.7,,,,,,best_pvout_fallback,,,,
inalum-asahan,Inalum Asahan,GI 150 kV Kuala Tanjung,150 kV,120.0,actual,Sumatera,2.26,False,remote_captive,13.85,GI 150 kV Tebing Tinggi,Sumatera,invest_substation,True,True,True,32.66,30.0,red,0.75,extension,rencana,2031.0,120.0,high,best_pvout_fallback,,0.3987,0.399,819.03
freeport-smelter-gresik,Freeport Smelter Gresik,GI 150 kV Manyar,150 kV,330.0,actual,Jawa-Bali,3.03,False,remote_captive,1.77,GI 150 kV Surabayaselatan,Jawa-Bali,invest_substation,True,False,True,36.54,49.5,red,0.85,uprate,pengadaan,2027.0,0.0,high,best_pvout_fallback,,0.9899,1.0,880.12
pupuk-kaltim-bontang,Pupuk Kaltim Bontang,GI 150 kV Teluk Pandan,150 kV,110.0,actual,Kalimantan,8.51,False,remote_captive,2.17,GI 150 kV Sangatta,Kalimantan,invest_substation,True,True,True,37.43,38.5,red,0.65,,,,,,best_pvout_fallback,,1.0,1.0,529.93
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,GI 70 kV Sungai Juaro - Sungai Kedudukan 2,70kV,20.0,proxy_70kV,Sumatera,1.35,False,remote_captive,22.34,GI 150 kV Kayu Agung,Sumatera,grid_first,True,False,True,47.43,6.0,red,0.7,,,,,,best_pvout_fallback,,1.0,1.0,462.48
petrokimia-gresik,Petrokimia Gresik,GI 150 kV Petrokimia,150 kV,140.0,actual,Jawa-Bali,1.44,False,remote_captive,6.29,GIS 150 kV Bangil,Jawa-Bali,invest_substation,True,False,True,53.31,21.0,red,0.85,uprate,rencana,2027.0,60.0,high,best_pvout_fallback,,1.0,1.0,657.47
