,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
4831,"HANASTAR INDONESIA, PT",JAWA BARAT,KARAWANG,KAWASAN INDUSTRI MITRA KARAWANG JL. MITRA BARAT BLOK GA NO. 7-8,32902,INDUSTRI PITA MESIN TULIS/GAMBAR,-6.375519103,107.3091614,POINT (107.3091614 -6.375519103)
4832,"HARMONICS TECHINDO AGUNG, PT",JAWA BARAT,KARAWANG,GINTUNG KERTA,27320,INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA,-6.35731998,107.3415665,POINT (107.3415665 -6.35731998)
4833,"HASIL RAYA INDUSTRIES, PT",JAWA BARAT,KARAWANG,DUSUN MANGGA BESAR II KAWASAN ABC WALAHAR,22293,INDUSTRI BARANG DAN PERALATAN TEKNIK/INDUSTRI DARI PLASTIK,-6.385507266,107.3697693,POINT (107.3697693 -6.385507266)
4834,"HEINZ ABC INDONESIA, PT",JAWA BARAT,KARAWANG,JL. BENDUNGAN WALAHAR,10729,INDUSTRI PENGOLAHAN GULA LAINNYA BUKAN SIROP,-6.386846775,107.3691992,POINT (107.3691992 -6.386846775)
4835,HEXING TECHNOLOGY,JAWA BARAT,KARAWANG,KAWASAN INDUSTRI MITRA KARAWANG JL. MITRA TIMUR II BLOK D-24,27120,INDUSTRI PERALATAN PENGONTROL DAN PENDISTRIBUSIAN LISTRIK,-6.383947128,107.3155745,POINT (107.3155745 -6.383947128)
4836,HEXING TECKNOLOGI PT,JAWA BARAT,KARAWANG,JL. MITRA TIMUR II BLOK D - 24 KAWASAN MITRA KARAWAN,27320,INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA,-6.383944317,107.3155743,POINT (107.3155743 -6.383944317)
4837,HITACHI ASTEMO BEKASI POWERTRAIN SYSTEM PLANT II,JAWA BARAT,KARAWANG,JL. AKSES TOL KALIHURIP NO.1,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.422911855,107.433885,POINT (107.433885 -6.422911855)
4838,HITACHI ASTEMO BEKASI POWERTRAIN SYSTEMS,JAWA BARAT,KARAWANG,KAWASAN INDUSTRI MANDALA PRATAMA PERMAI,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.422911743,107.4338865,POINT (107.4338865 -6.422911743)
4839,"HITACHI CHEMICALS INDONESIA, PT",JAWA BARAT,KARAWANG,JL. SURYA MADYA KAV I - 36A KAW. SURYA CIPTA,28113,INDUSTRI KOMPONEN DAN SUKU CADANG MESIN DAN TURBIN,-6.413192467,107.3320271,POINT (107.3320271 -6.413192467)
4840,HM SAMPOERNA TBK. - KARAWANG,JAWA BARAT,KARAWANG,KARAWANG INTERNATIONAL INDUSTRIAL CITY JL. PERMATA II LOT BB-3/4B/7/8A,12011,INDUSTRI SIGARET KRETEK TANGAN,-6.358980158,107.2887889,POINT (107.2887889 -6.358980158)
4841,"HM SAMPOERNA, PT",JAWA BARAT,KARAWANG,JL. PERMATA RAYA LOT CC 1-5,12019,INDUSTRI ROKOK LAINNYA,-6.358980912,107.2887817,POINT (107.2887817 -6.358980912)
4842,HONDA PRECISION PARTS MANUFA,JAWA BARAT,KARAWANG,SEKTOR IA BLOK 5 KAWASAN INDUSTRI INDOTAISEI,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.419673965,107.4144579,POINT (107.4144579 -6.419673965)
4843,HONDA PRECISION PARTS MANUFACTURING,JAWA BARAT,KARAWANG,"KAWASAN INDUSTRI INDOTAISEI SEKTOR  IA , BLOK  S",29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.419679351,107.4144562,POINT (107.4144562 -6.419679351)
4844,"HONDA PROSPECT ENGINERING MFG DIECAST,",JAWA BARAT,KARAWANG,KAWASAN INDTR MITRA KARAWANG  JAYA,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.364139898,107.3155863,POINT (107.3155863 -6.364139898)
4845,HONDA PROSPECT MOTOR,JAWA BARAT,KARAWANG,JL. MITRA UTARA II KAWASAN INDUSTRI MITRA KARAWANG,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.364137899,107.3155916,POINT (107.3155916 -6.364137899)
4846,"HORIGUCHI ENGINEERING INDONESIA, PT",JAWA BARAT,KARAWANG,LOT D- IA KAWASAN INDUSTRI KIIC,33121,REPARASI MESIN UNTUK KEPERLUAN UMUM,-6.355831625,107.2734832,POINT (107.2734832 -6.355831625)
