unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
Unit 2,Weda Bay Power Station,Tsingshan Holding Group Co Ltd; Zhejiang Huajun Investment Co Ltd; Zhenshi Holding Group Co Ltd,https://www.gem.wiki/Weda_Bay_power_station,,250,Operating,Asia,Indonesia,North Maluku,0.47889,127.98421,"0.47889, 127.98421"
Unit 8,Weda Bay Power Station,Pt Angel Nickel Industry,https://www.gem.wiki/Weda_Bay_power_station,,380,Construction,Asia,Indonesia,North Maluku,0.47889,127.98421,"0.47889, 127.98421"
Unit 2,Xinxing Ductile Iron Pipes Power Station,Xinxing Qiyun Investment Holdings Co Ltd [40.0%]; Pt Trimegah Bangun Persada [30.0%]; Harita Group [20.0%]; Pt Gane Permai Sentosa [10.0%],https://www.gem.wiki/Xinxing_Ductile_Iron_Pipes_power_station,,38,Operating,Asia,Indonesia,Maluku,-1.53051,127.41898,"-1.53051, 127.41898"
Unit 5,Xinxing Ductile Iron Pipes Power Station,Xinxing Qiyun Investment Holdings Co Ltd [40.0%]; Pt Trimegah Bangun Persada [30.0%]; Harita Group [20.0%]; Pt Gane Permai Sentosa [10.0%],https://www.gem.wiki/Xinxing_Ductile_Iron_Pipes_power_station,,65,Shelved,Asia,Indonesia,Maluku,-1.53051,127.41898,"-1.53051, 127.41898"
Unit B-3,Asam-Asam Power Station,Pt Pln (Persero),https://www.gem.wiki/Asam-Asam_power_station,,65,Operating,Asia,Indonesia,South Kalimantan,-3.92653,115.10581,"-3.92653, 115.10581"
Unit B-4,Asam-Asam Power Station,Pt Pln (Persero),https://www.gem.wiki/Asam-Asam_power_station,,65,Operating,Asia,Indonesia,South Kalimantan,-3.92653,115.10581,"-3.92653, 115.10581"
,Bali Power Station,To Be Determined,https://www.gem.wiki/Bali_Power_Station,,135,Cancelled,Asia,Indonesia,Bali,-8.4476,115.12221,"-8.4476, 115.12221"
Unit 1,Bandung Indosyntec Power Station,Pt Panasia Indosyntec Tbk,https://www.gem.wiki/Bandung_Indosyntec_power_station,,30,Operating,Asia,Indonesia,West Java,-6.9705,107.60578,"-6.9705, 107.60578"
Unit 1,Bangka-1A Power Station,Pt Pln (Persero),https://www.gem.wiki/Bangka-1A_power_station,,50,Cancelled,Asia,Indonesia,Bangka-Belitung,-2.07925,106.14962,"-2.07925, 106.14962"
Unit 1,Bangko Tengah Power Station,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],https://www.gem.wiki/Bangko_Tengah_power_station,,600,Construction,Asia,Indonesia,South Sumatra,-3.83868,103.80413,"-3.83868, 103.80413"
Unit 2,Bangko Tengah Power Station,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],https://www.gem.wiki/Bangko_Tengah_power_station,,600,Construction,Asia,Indonesia,South Sumatra,-3.83868,103.80413,"-3.83868, 103.80413"
Unit 3,Banten Lontar Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Lontar_power_station,,315,Operating,Asia,Indonesia,Banten,-6.05887,106.4643,"-6.05887, 106.4643"
Unit 2,Banten Serang Power Station,Genting Group,https://www.gem.wiki/Banten_Serang_power_station,,660,Shelved,Asia,Indonesia,Banten,-5.88297,106.04593,"-5.88297, 106.04593"
"Phase I, Unit 2",Banten Suralaya Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Suralaya_power_station,,400,Operating,Asia,Indonesia,Banten,-5.89191,106.03023,"-5.89191, 106.03023"
"Phase Ii, Unit 2",Banten Suralaya Power Station,Pt Pln (Persero),https://www.gem.wiki/Banten_Suralaya_power_station,,600,Operating,Asia,Indonesia,Banten,-5.89191,106.03023,"-5.89191, 106.03023"
Unit 1,Barru Power Station,Pt Pln (Persero),https://www.gem.wiki/Barru_power_station,,50,Operating,Asia,Indonesia,South Sulawesi,-4.29329,119.63135,"-4.29329, 119.63135"
"Phase Ii, Unit 1",Barru Power Station,Pt Pln (Persero),https://www.gem.wiki/Barru_power_station,,100,Construction,Asia,Indonesia,South Sulawesi,-4.29329,119.63135,"-4.29329, 119.63135"
Unit 1,Bengkayang Power Station,Pt Pln (Persero),https://www.gem.wiki/Bengkayang_Power_Station,,50,Operating,Asia,Indonesia,West Kalimantan,0.83511,108.87368,"0.83511, 108.87368"
Unit 2,Bojonegara Serang Power Station,Pt Indika Energy Tbk,https://www.gem.wiki/Bojonegara_Serang_power_station,,375,Cancelled,Asia,Indonesia,Banten,-5.971,106.094,"-5.971, 106.094"
Unit 2,Btn Dumai Power Station,Btn Power,https://www.gem.wiki/BTN_Dumai_power_station,,150,Cancelled,Asia,Indonesia,Riau,1.589,101.638,"1.589, 101.638"
