capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
38,Indonesia,"-1.53064,127.41912",-1.53064,127.41912,Xinxing Qiyun Investment Holdings Co Ltd [40.0%]; Pt Trimegah Bangun Persada [30.0%]; Harita Group [20.0%]; Pt Gane Permai Sentosa [10.0%],Msp Pulau Obi Power Station,Asia,Operating,North Maluku,Unit 3,https://www.gem.wiki/MSP_Pulau_Obi_power_station
600,Indonesia,"-2.618,103.127",-2.618,103.127,To Be Determined,Mulut Tambang Power Station,Asia,Cancelled,South Sumatra,Unit 2,https://www.gem.wiki/Mulut_Tambang_power_station
250,Indonesia,"1.254,116.682",1.254,116.682,Mec Coal; Nalco Holding Co,Nalco East Kutai Power Station,Asia,Cancelled,East Kalimantan,Unit 2,https://www.gem.wiki/NALCO_East_Kutai_power_station
30,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Pre-Permit,Riau,"Phase I, Unit 6",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Ii, Unit 6",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
150,Indonesia,"0.91164,104.65054",0.91164,104.65054,Global Aluminium International [72.7%]; Press Metal Aluminium Holdings Bhd [25.0%],Nanshan Industrial Park Power Station,Asia,Cancelled,Riau,"Phase Iv, Unit 1",https://www.gem.wiki/Nanshan_Industrial_Park_power_station
100,Indonesia,"-0.60902,100.7537",-0.60902,100.7537,Pt Pln (Persero),Ombilin Power Station,Asia,Operating,West Sumatra,Unit 2,https://www.gem.wiki/Ombilin_power_station
315,Indonesia,"-8.25782,111.37356",-8.25782,111.37356,Pt Pln (Persero),Pacitan Power Station,Asia,Operating,East Java,Unit 2,https://www.gem.wiki/Pacitan_power_station
615,Indonesia,"-7.7153,113.58571",-7.7153,113.58571,Ratch Group Plc [45.5%]; Qatar Electricity And Water Company Qpsc [21.3%]; Ras Laffan Operating Company Wll [14.2%]; Chubu Electric Power Co Inc [7.0%]; Tokyo Electric Power Co [7.0%]; Pt Toba Bara Sejahtra Tbk [5.0%],Paiton-1 Power Station,Asia,Operating,East Java,Unit 7,https://www.gem.wiki/Paiton-1_power_station
220,Indonesia,"4.12071,98.25823",4.12071,98.25823,Pt Barito Pacific Tbk,Pangkalan Susu Power Station,Asia,Operating,North Sumatra,Unit 1,https://www.gem.wiki/Pangkalan_Susu_power_station
